"";"cod_mun";"PIB_PC";"PIB_total";"atvidade_economica"
"295";1508407;27962,38;1217202,496;"Indústrias de transformação"
"296";1600055;13857,88;70827,634;"Administração, defesa, educação e saúde públicas e seguridade social"
"297";1600105;19062,67;166931,793;"Administração, defesa, educação e saúde públicas e seguridade social"
"298";1600154;18577,96;280991,644;"Administração, defesa, educação e saúde públicas e seguridade social"
"299";1600204;13959,32;146921,867;"Administração, defesa, educação e saúde públicas e seguridade social"
"300";1600212;12913,84;72795,319;"Administração, defesa, educação e saúde públicas e seguridade social"
"301";1600238;68751,16;499820,965;"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
"302";1600253;12713,02;65751,72;"Administração, defesa, educação e saúde públicas e seguridade social"
"303";1600279;17885,4;850522,298;"Administração, defesa, educação e saúde públicas e seguridade social"
"304";1600303;21054,88;9994877,203;"Administração, defesa, educação e saúde públicas e seguridade social"
"305";1600402;12003,39;244713,181;"Administração, defesa, educação e saúde públicas e seguridade social"
"306";1600501;15462,09;394499,734;"Administração, defesa, educação e saúde públicas e seguridade social"
"307";1600535;16107,08;331983,051;"Administração, defesa, educação e saúde públicas e seguridade social"
"308";1600550;13170,57;62942,151;"Administração, defesa, educação e saúde públicas e seguridade social"
"309";1600600;16539,73;1909859,508;"Administração, defesa, educação e saúde públicas e seguridade social"
"310";1600709;12537,48;202003,883;"Administração, defesa, educação e saúde públicas e seguridade social"
"311";1600808;12303,59;184443,121;"Administração, defesa, educação e saúde públicas e seguridade social"
"312";1700251;21850,43;56177,457;"Administração, defesa, educação e saúde públicas e seguridade social"
"313";1700301;18719,04;120925,031;"Administração, defesa, educação e saúde públicas e seguridade social"
"314";1700350;20773,07;114812,739;"Administração, defesa, educação e saúde públicas e seguridade social"
"315";1700400;20625,98;150012,756;"Produção florestal, pesca e aquicultura"
"316";1700707;38266;325873,276;"Indústrias de transformação"
"317";1701002;12561,3;122460,113;"Administração, defesa, educação e saúde públicas e seguridade social"
"318";1701051;10310,04;35291,257;"Administração, defesa, educação e saúde públicas e seguridade social"
"319";1701101;19229,27;90877,547;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"320";1701309;10749,47;63045,64;"Administração, defesa, educação e saúde públicas e seguridade social"
"321";1701903;18856,47;132051,853;"Administração, defesa, educação e saúde públicas e seguridade social"
"322";1702000;21155,78;183886,059;"Pecuária, inclusive apoio à pecuária"
"323";1702109;22809,8;4013612;"Demais serviços"
"324";1702158;11381,26;64247,214;"Administração, defesa, educação e saúde públicas e seguridade social"
"325";1702208;10887,03;383397,721;"Administração, defesa, educação e saúde públicas e seguridade social"
"326";1702307;14515,35;98065,691;"Administração, defesa, educação e saúde públicas e seguridade social"
"327";1702406;14692,69;157608,513;"Administração, defesa, educação e saúde públicas e seguridade social"
"328";1702554;12740,56;230464,003;"Administração, defesa, educação e saúde públicas e seguridade social"
"329";1702703;10900,58;40713,672;"Administração, defesa, educação e saúde públicas e seguridade social"
"330";1702901;10495,5;102603,982;"Administração, defesa, educação e saúde públicas e seguridade social"
"331";1703008;9531,2;102479,417;"Administração, defesa, educação e saúde públicas e seguridade social"
"332";1703057;19542,67;68399,343;"Pecuária, inclusive apoio à pecuária"
"333";1703073;10127,36;46018,714;"Administração, defesa, educação e saúde públicas e seguridade social"
"334";1703107;14386,09;81180,692;"Administração, defesa, educação e saúde públicas e seguridade social"
